,Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
400,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,2.0,2.0,1.0,1.0,98.0,Programming,1.0,Networking,3.95,3.95,12,False,50000.0
401,2022.0,Female,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,2.0,3.0,2.0,3.0,100.0,Programming,2.0,Artificial Intelligence,3.03,3.03,12,False,90000.0
402,2018.0,Female,23.0,2017.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,Yes,No,No,In a relationship,Yes,Bachelor,Yes,No,Poor,4.0,7.0,1.0,5.0,60.0,Cyber security,2.0,Artificial Intelligence,2.59,2.56,133,False,26000.0
403,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Advance,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,1.0,3.0,2.0,3.0,100.0,Programming,2.0,Software,0.0,0.0,0,False,30000.0
404,2021.0,Female,19.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,3.0,5.5,2.0,4.0,99.0,Programming,3.0,Data Science,3.45,3.295,25,False,25000.0
405,2022.0,Male,20.0,2021.0,BCSE,No,Yes,Offline,Yes,No,Basic,No,No,No,Single,Yes,Family,No,No,Average,2.0,1.0,1.0,4.0,85.0,Programming,1.0,Software,3.6,3.6,11,False,40000.0
406,2022.0,Female,20.0,2020.0,BCSE,No,No,Online,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,No,Good,2.0,6.0,6.0,1.0,98.0,Web development skill(Backend),5.0,Software,3.53,3.53,11,False,40000.0
407,2020.0,Female,20.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Good,8.0,3.0,2.0,2.0,99.0,Programming,2.0,Machine Learning / Deep Learning,3.86,3.69,90,False,50000.0
408,2022.0,Female,19.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,Yes,Family,No,No,Poor,2.0,3.5,2.0,4.0,100.0,Programming,2.0,Artificial Intelligence,3.48,2.4,11,False,25000.0
409,2021.0,Male,21.0,2019.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,5.0,2.0,1.0,1.0,98.0,"Programming, SEO",6.0,Data Science,3.7,3.77,54,False,20000.0
410,2022.0,Female,20.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Family,No,No,Excellent,2.0,3.0,1.0,1.0,100.0,Programming,2.0,Software,3.84,3.84,11,False,50000.0
411,2020.0,Female,21.0,2019.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,8.0,6.5,2.0,2.0,100.0,Web development skill(Backend),3.0,Software,3.4,3.29,85,False,50000.0
412,2022.0,Male,19.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,In a relationship,No,Bachelor,No,No,Good,8.0,4.0,6.0,2.0,90.0,Programming,1.0,Artificial Intelligence,3.43,3.43,14,False,24000.0
413,2021.0,Female,21.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2.0,12.0,2.0,2.0,100.0,Programming,2.0,Software,3.7,3.7,11,False,30000.0
414,2020.0,Male,22.0,2019.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Good,6.0,4.0,2.0,4.0,85.0,Programming,2.0,Data Science,3.02,3.2,70,False,20000.0
415,2021.0,Male,20.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Average,3.0,2.5,2.0,3.0,90.0,Web development skill(Backend),1.0,Software,3.48,2.98,23,False,20000.0
416,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2.0,3.5,3.5,2.0,90.0,Programming,2.0,Networking,3.53,3.53,13,False,40000.0
417,2020.0,Female,19.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,No,Single,No,Bachelor,No,No,Good,8.0,4.0,1.0,2.0,90.0,Programming,3.0,Data Science,3.06,3.41,87,False,30000.0
420,2019.0,Female,20.0,2019.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Good,9.0,3.5,3.0,1.0,99.0,"Programming, Web development",4.0,Software,3.19,3.37,101,False,40000.0
422,2022.0,Female,22.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Engaged,No,Bachelor,Yes,No,Average,2.0,4.0,1.0,2.0,98.0,Programming,2.0,Artificial Intelligence,3.05,3.05,11,False,20000.0
423,2022.0,Female,21.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Single,Yes,Family,No,No,Excellent,1.0,3.5,2.0,1.0,99.0,Programming,1.0,Data Science,4.5,4.0,75,False,80000.0
424,2021.0,Female,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Married,Yes,Family,No,No,Poor,2.0,4.0,1.0,3.0,98.0,Programming,3.0,Networking,3.75,0.0,11,False,60000.0
425,2021.0,Male,22.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,No,Bachelor,No,No,Good,2.0,3.0,3.0,2.0,90.0,"Programming, Web development",2.0,Software,3.33,3.33,12,False,20000.0
426,2021.0,Male,20.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Basic,Yes,No,Yes,Single,Yes,Bachelor,No,Yes,Average,3.0,4.0,1.0,1.5,80.0,"Programming, Web development",2.0,Networking,2.81,2.81,35,False,40000.0
427,2022.0,Male,21.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,Yes,No,Poor,2.0,3.0,3.0,4.0,90.0,data entry,0.0,Software,2.18,2.08,11,False,35000.0
429,2020.0,Male,23.0,2018.0,BCSE,No,Yes,Offline,Yes,No,Intermediate,No,No,No,Single,No,Family,No,No,Poor,8.0,0.0,2.0,3.0,70.0,"Web development skill(Backend),",6.0,Software,3.7,3.75,70,False,20000.0
430,2018.0,Female,24.0,2016.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Engaged,No,Bachelor,Yes,No,Average,13.0,2.0,2.0,1.0,90.0,Networking,1.0,Data Science,3.62,3.0,140,False,25000.0
431,2022.0,Male,20.0,2020.0,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,Yes,Yes,Average,3.0,3.3333333333333335,2.0,3.0,100.0,Programming,2.0,Data Science,3.18,3.18,11,False,35000.0
432,2022.0,Female,21.0,2020.0,BCSE,Yes,Yes,Online,Yes,No,Basic,No,No,No,Single,Yes,Family,Yes,Yes,Poor,2022.0,3.0,2.0,8.0,98.0,Programming,1.0,Data Science,3.55,3.59,11,False,100000.0
433,2020.0,Male,23.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,Yes,Bachelor,No,No,Excellent,3.0,4.0,2.0,2.0,100.0,"Programming, Web development",6.0,Machine Learning / Deep Learning,3.58,3.75,23,False,15000.0
434,2022.0,Male,22.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,Yes,No,Poor,2.0,2.0,1.0,8.0,90.0,Programming,3.0,Software,3.88,3.88,12,False,10000.0
435,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Poor,2.0,2.0,1.0,10.0,90.0,Programming,3.0,Software,3.0,3.0,12,False,30000.0
436,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,Yes,Yes,Single,Yes,Bachelor,No,No,Excellent,2.0,5.0,2.0,1.0,95.0,"Programming, Software Development",2.0,Networking,4.0,4.0,11,False,40000.0
437,2022.0,Male,22.0,2016.0,BCSE,Yes,Yes,Online,Yes,Yes,Basic,No,No,Yes,In a relationship,Yes,Family,No,No,Average,2.0,2.0,2.0,1.0,80.0,"Programming, Php",2.0,Networking,3.97,3.97,11,False,30000.0
438,2021.0,Male,22.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,3.0,3.0,2.0,1.0,75.0,Programming,2.0,Machine Learning / Deep Learning,3.79,3.69,25,False,100000.0
439,2019.0,Male,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,In a relationship,No,Bachelor,No,No,Average,11.0,6.5,2.0,2.0,90.0,"Web development skill(Backend),",1.0,Software,2.96,2.89,111,False,50000.0
440,2021.0,Male,21.0,2020.0,BCSE,Yes,No,Offline,No,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Excellent,5.0,5.0,2.0,2.0,95.0,"Programming, Software Development",3.0,Software,3.77,3.86,49,False,30000.0
441,2019.0,Male,25.0,2017.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,11.0,1.5,2.0,1.0,90.0,"Programming, Software Development",4.0,Artificial Intelligence,3.44,3.48,124,True,50000.0
443,2021.0,Female,21.0,2019.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,3.0,2.0,2.0,2.0,85.0,Programming,2.0,Machine Learning / Deep Learning,3.56,3.66,23,False,25000.0
444,2020.0,Male,19.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Good,2.0,3.0,2.0,1.0,100.0,Programming,1.0,Software,3.56,3.56,12,False,40000.0
447,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Average,2.0,1.0,1.0,5.0,80.0,nan,0.0,Software,3.25,3.2,11,False,40000.0
448,2022.0,Male,19.0,2021.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,1.0,4.5,2.0,5.0,85.0,I have no,2.0,Machine Learning / Deep Learning,0.0,0.0,0,False,50000.0
449,2021.0,Male,22.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Average,22.0,2.0,2.0,3.0,80.0,Programming,2.0,Data Science,3.7,3.4,39,False,50000.0
450,2021.0,Female,20.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Intermediate,No,No,No,Single,No,Family,No,No,Average,22.0,1.0,1.0,2.0,100.0,Programming,0.0,Data Science,3.38,3.58,25,False,80000.0
451,2021.0,Male,21.0,2019.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,2022.0,1.0,2.0,2.0,80.0,"Programming, Web development",3.0,Software,3.78,3.9,49,False,40000.0
452,2019.0,Female,24.0,2016.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Good,10.0,5.0,2.0,3.0,95.0,"Programming, Networking",2.0,Machine Learning / Deep Learning,3.4,3.5,106,False,20000.0
453,2019.0,Male,24.0,2017.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Average,10.0,2.0,1.0,3.0,80.0,"Programming, Software Development",5.0,"Software, App",2.58,2.93,106,False,65000.0
454,2020.0,Male,21.0,2019.0,BCSE,No,No,Online,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Bachelor,Yes,No,Average,8.0,1.5,2.0,1.0,100.0,"Programming, Web development",1.0,Data Science,3.96,3.7,85,False,25000.0
455,2021.0,Female,21.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Good,3.0,3.5,2.0,2.0,88.0,Programming,2.0,Software,3.58,3.76,25,False,40000.0
456,2021.0,Male,20.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,In a relationship,Yes,Bachelor,No,No,Good,3.0,2.0,2.0,4.0,99.0,Programming,2.0,Data Science,3.79,3.91,23,False,50000.0
458,2021.0,Male,22.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,4.0,3.0,2.0,2.0,95.0,"Programming, Web development",4.0,Artificial Intelligence,1.12,1.88,32,True,60000.0
459,2021.0,Female,21.0,2019.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Good,3.0,4.0,3.0,1.0,99.0,Programming,2.0,Software,3.72,3.67,25,False,35000.0
460,2022.0,Male,20.0,2020.0,BCSE,No,No,Offline,Yes,No,Basic,No,No,Yes,Single,Yes,Family,No,No,Poor,2.0,5.5,3.0,1.0,95.0,Programming,2.0,Software,4.55,0.0,11,False,35000.0
461,2020.0,Female,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,8.0,4.0,2.0,2.0,98.0,Programming,2.0,Data Science,2.83,2.82,65,False,25000.0
462,2022.0,Female,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,Yes,No,Good,2.0,2.5,2.0,2.0,95.0,Networking,1.0,Networking,3.88,3.88,11,False,35000.0
463,2022.0,Male,21.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Bachelor,Yes,No,Average,2.0,1.5,2.0,4.0,90.0,Networking,2.0,Machine Learning / Deep Learning,4.0,3.39,12,False,25000.0
464,2020.0,Female,21.0,2019.0,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Good,8.0,3.0,2.0,3.0,97.0,Web development skill(Backend),1.0,Data Science,3.0,3.66,87,False,150000.0
465,2018.0,Male,26.0,2018.0,BCSE,No,Yes,Online,Yes,Yes,Intermediate,Yes,Yes,Yes,Single,Yes,Bachelor,No,No,Poor,12.0,8.0,10.0,2.0,90.0,"Web development skill(Frontend),",5.0,Networking,2.44,2.44,90,False,20000.0
466,2021.0,Male,21.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,3.0,3.0,2.0,1.0,98.0,"Programming, Web development",1.0,Data Science,2.82,3.0,23,False,25000.0
467,2022.0,Female,21.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Good,2.0,2.5,2.0,1.0,100.0,Programming,1.0,Software,3.9,3.9,11,False,50000.0
468,2022.0,Male,21.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,Yes,No,Poor,2.0,5.0,1.0,12.0,98.0,Programming,2.0,"Software, Hardware",3.33,3.33,12,False,20000.0
469,2022.0,Female,20.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,2.0,3.0,3.0,2.0,97.0,Programming,2.0,Software,4.7,0.0,11,False,35000.0
470,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,No,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Excellent,2.0,4.0,2.0,3.0,90.0,"Programming, Web development",2.0,Data Science,3.98,3.98,11,False,22000.0
471,2022.0,Female,21.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Basic,No,No,No,Single,No,Bachelor,No,No,Good,1.0,2.0,2.0,1.0,100.0,"Programming, Web development",1.0,Software,3.4,3.8,11,False,60000.0
472,2022.0,Male,22.0,2019.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,2.0,3.3475298126064734,1.0,2.0,70.0,Programming,1.0,Networking,3.81,3.81,11,False,400000.0
473,2022.0,Female,23.0,2021.0,BCSE,Yes,Yes,Offline,Yes,No,Intermediate,No,No,No,Engaged,Yes,Family,Yes,No,Average,2.0,1.5,2.0,3.0,90.0,"Programming, Web development",2.0,Software,3.97,3.97,11,True,20250.0
474,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,Yes,Bachelor,No,No,Poor,2.0,8.0,2.0,8.0,90.0,Programming,2.0,Artificial Intelligence,3.33,3.33,12,False,30000.0
475,2021.0,Female,21.0,2020.0,BCSE,Yes,No,Offline,Yes,No,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Poor,3.0,3.0,1.0,3.0,70.0,Programming,2.0,Data Science,2.68,2.89,23,False,15000.0
476,2021.0,Female,20.0,2019.0,BCSE,No,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Excellent,2.0,3.0,2.0,2.0,95.0,Programming,1.0,Software,3.84,3.84,11,False,30000.0
477,2021.0,Female,20.0,2016.0,BCSE,Yes,No,Offline,Yes,No,Advance,No,No,Yes,Single,Yes,Family,No,No,Average,3.0,2.0,2.0,3.0,75.0,Programming,2.0,Networking,3.54,3.69,25,False,20000.0
478,2021.0,Male,21.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,3.0,2.0,2.0,3.0,95.0,Programming,2.0,Software,1.78,3.39,20,False,25000.0
479,2021.0,Male,19.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,Yes,No,Poor,3.0,2.0,1.0,3.0,90.0,Programming,1.0,Networking,2.32,2.8,24,False,35000.0
480,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Excellent,2.0,3.0,1.0,3.0,90.0,Programming,2.0,Software,4.0,4.0,11,False,50000.0
482,2022.0,Male,20.0,2020.0,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Excellent,2.0,5.0,2.0,0.5,90.0,Programming,2.0,"Software, BCS ",3.8,3.8,12,False,20000.0
483,2021.0,Male,22.0,2019.0,BCSE,No,Yes,Online,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,5.0,0.0,0.0,3.0,0.0,"Programming, Web development",6.0,Machine Learning / Deep Learning,2.08,2.91,49,False,30000.0
484,2022.0,Male,20.0,2020.0,BCSE,No,No,Offline,Yes,No,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Average,2.0,2.5,4.0,1.0,95.0,"Programming, Volunteering.",2.0,Data Science,3.05,3.05,12,False,25000.0
485,2022.0,Male,21.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Advance,No,No,Yes,Single,Yes,Family,No,No,Average,2.0,3.0,2.0,5.0,90.0,"Programming, Networking",0.0,Data Science,3.45,3.45,12,False,30000.0
487,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,Yes,Yes,Single,No,Bachelor,No,No,Poor,22.0,4.0,2.0,3.0,100.0,Programming,2.0,Software,2.73,2.73,12,False,20000.0
488,2018.0,Male,22.0,2018.0,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,11.0,1.5,2.0,2.0,80.0,"Web development skill(Backend),",3.0,Software,3.2,3.29,132,False,40000.0
489,2019.0,Female,20.0,2019.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Excellent,8.0,6.0,2.0,2.0,100.0,"Programming, Software Development",2.0,Software,3.96,3.94,85,False,100000.0
490,2020.0,Male,22.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Poor,8.0,3.3475298126064734,2.0,6.0,60.0,Nothing properly,2.0,Machine Learning / Deep Learning,3.56,3.69,87,False,40000.0
491,2022.0,Male,23.0,2019.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,1.0,2.0,1.0,8.0,100.0,Networking,1.0,Data Science,0.0,0.0,0,False,40000.0
492,2022.0,Female,19.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,Yes,Family,No,No,Good,2.0,2.5,2.0,1.0,100.0,"Programming, Drawing",1.0,Software,3.89,3.89,11,False,70000.0
493,2022.0,Female,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,No,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,1.0,2.0,1.0,7.0,100.0,Networking,1.0,Data Science,0.0,0.0,0,False,15000.0
494,2021.0,Female,26.0,2014.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Married,No,Family,No,No,Poor,3.0,4.5,3.5,3.0,50.0,Programming,1.0,Software,3.89,3.36,23,False,80000.0
495,2022.0,Male,20.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Poor,2.0,3.0,1.0,2.0,10.0,Programming,1.0,Cyber Security,3.68,3.68,14,False,24000.0
497,2022.0,Male,19.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,No,No,Average,2.0,5.0,2.0,2.0,98.0,"Programming, Software Development",2.0,Data Science,2.93,2.93,11,False,35000.0
498,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Excellent,2.0,4.0,3.0,2.0,100.0,Programming,2.0,Artificial Intelligence,3.81,3.81,12,False,50000.0
499,2021.0,Female,19.0,2020.0,BCSE,No,Yes,Offline,Yes,No,Intermediate,No,No,No,Single,No,Family,Yes,Yes,Poor,2.0,3.5,2.0,2.0,98.0,Programming,1.0,Data Science,3.37,0.0,11,False,25000.0
500,2022.0,Male,19.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Married,No,Family,No,No,Good,2.0,3.0,1.0,3.0,100.0,"Programming, Strating....",1.0,confuse,3.25,3.25,10,False,25000.0
501,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Average,2.0,3.0,2.0,3.0,85.0,Programming,2.0,Artificial Intelligence,2.89,2.89,11,False,30000.0
502,2022.0,Male,22.0,2019.0,BCSE,No,No,Offline,Yes,Yes,Basic,Yes,No,No,Engaged,Yes,Bachelor,Yes,No,Poor,2.0,2.0,1.0,3.0,95.0,"Programming, Software Development",1.0,Networking,1.62,1.45,11,False,40000.0
503,2022.0,Male,20.0,2020.0,BCSE,No,Yes,Offline,Yes,No,Intermediate,No,No,Yes,Single,No,Family,No,No,Poor,2.0,2.5,2.0,4.0,98.0,I have no,2.0,Data Science,3.73,0.0,11,False,35000.0
504,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,2.0,2.5,2.0,1.0,90.0,"Programming, Web development",4.0,Data Science,3.18,3.39,11,False,25000.0
506,2022.0,Male,19.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Basic,Yes,No,No,Single,No,Bachelor,Yes,No,Average,2.0,30.0,1.0,2.0,90.0,Programming,1.0,Software,2.9,2.9,11,False,60000.0
507,2022.0,Male,18.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Good,2.0,6.0,3.0,2.0,95.0,"Programming, Web development",2.0,Software,3.48,3.48,12,False,25000.0
508,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Good,2.0,15.0,2.0,4.0,95.0,Web development skill(Backend),3.0,Web developing ,3.6,3.6,11,False,25000.0
509,2021.0,Male,21.0,2019.0,BCSE,No,No,Online,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Average,2.0,2.0,3.0,3.0,90.0,"Programming, Web development",2.0,Data Science,3.13,3.17,11,False,40000.0
511,2022.0,Male,19.0,2020.0,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Average,2.0,2.0,1.0,1.0,95.0,"Programming, Software Development",2.0,Data Science,3.13,3.13,11,False,40000.0
512,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Excellent,2.0,3.0,2.0,2.0,100.0,Programming,1.0,Data Science,3.85,3.85,12,False,30000.0
513,2022.0,Male,21.0,2020.0,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,Yes,No,Good,2.0,4.5,2.0,1.0,100.0,Programming,1.0,Artificial Intelligence,3.6,3.6,11,False,30000.0
514,2022.0,Female,18.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,2.0,2.0,2.0,1.0,100.0,"Programming, Software Development",1.0,Software,3.54,0.0,11,False,14000.0
515,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,No,No,Average,2.0,1.0,2.0,4.0,95.0,Programming,3.0,Software,3.54,3.55,11,False,25000.0
516,2022.0,Male,19.0,2020.0,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,No,No,Single,No,Bachelor,No,No,Poor,2.0,3.0,2.0,4.0,95.0,Programming,6.0,Software,2.1,2.1,12,False,10000.0
517,2022.0,Male,20.0,2020.0,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Bachelor,No,No,Poor,2.0,3.0,2.0,5.0,90.0,Programming,1.0,"Software, Hardware",2.5,2.5,12,False,25000.0
518,2019.0,Male,24.0,2017.0,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Bachelor,No,No,Excellent,11.0,8.0,1.0,1.0,90.0,"Programming, Web development",5.0,Data Science,3.31,3.76,139,False,30000.0
519,2022.0,Male,21.0,2020.0,BCSE,No,No,Online,Yes,Yes,Advance,No,No,Yes,Single,No,Bachelor,No,No,Poor,2.0,1.0,2.0,4.0,80.0,"Cyber security, Networking,",0.0,Networking,3.75,0.0,12,False,50000.0
520,2021.0,Male,21.0,2020.0,BCSE,Yes,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Good,2.0,6.0,3.0,2.0,98.0,Programming,3.0,Software,3.7,3.7,13,False,25000.0
521,2021.0,Male,21.0,2020.0,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Poor,2.0,3.0,3.0,1.0,97.0,Programming,3.0,Machine Learning / Deep Learning,3.5,0.0,13,False,33000.0
